id,title
1,Universidad de Chile
2,Pontificia Universidad Católica de Chile
3,Universidad de Concepción
4,Universidad de Santiago de Chile
5,Universidad Técnica Federico Santa María
6,Pontifica Universidad Católica de Valparaíso
7,Universidad Austral de Chile
8,Universidad Diego Portales
9,Universidad de Talca
10,Universidad Adolfo Ibáñez
11,Universidad de la Frontera
12,Universidad de Valparaíso
13,Universidad de los Andes
14,Universidad Andrés Bello
15,Universidad Católica del Norte
16,Universidad de Tarapacá
17,Universidad del Bío-Bío
18,Universidad del Desarrollo
19,Universidad Alberto Hurtado
20,Universidad de La Serena
21,Universidad de Antofagasta
22,Universidad Católica de Temuco
23,Universidad Católica del Maule
24,Universidad Católica de la Santísima Concepción
25,Universidad San Sebastián
26,Universidad de Playa Ancha
27,Universidad Mayor
28,Universidad Metropolitana de Ciencias de la Educación
29,Universidad Finis Terrae
30,Universidad Autónoma de Chile
31,Universidad Arturo Prat
32,Universidad Tecnológica Metropolitana
33,Universidad Central de Chile
34,Universidad Católica Silva Henríquez
35,Universidad Bernardo O'Higgins
36,Universidad Gabriela Mistral
37,Universidad de Los Lagos
38,Universidad de Magallanes
39,Universidad Santo Tomás
40,Universidad de Atacama
41,Universidad de Las Américas
42,Universidad Adventista de Chile
43,Universidad del Pacífico
44,Universidad de Viña del Mar
45,Universidad Tecnológica de Chile
46,Universidad UNIACC
47,Universidad Pedro de Valdivia
48,Universidad SEK
49,Universidad de Aconcagua
50,Universidad Iberoamericana de Ciencias y Tecnología
51,Universidad Los Leones
52,Universidad de Aysén
